caso,algoritmo,n,tipo,dominio,muestra,tiempo_us,tiempo_ms,memoria_kb,resultado_correcto,archivo_salida
16_densa_D0_a,naive,16,densa,D0,a,237,0.237854,0,true,data/matrix_output/16_densa_D0_a_naive.txt
16_densa_D0_a,strassen,16,densa,D0,a,5589,5.58923,0,true,data/matrix_output/16_densa_D0_a_strassen.txt
16_densa_D0_b,naive,16,densa,D0,b,44,0.044754,0,true,data/matrix_output/16_densa_D0_b_naive.txt
16_densa_D0_b,strassen,16,densa,D0,b,5499,5.4994,0,true,data/matrix_output/16_densa_D0_b_strassen.txt
16_densa_D0_c,naive,16,densa,D0,c,51,0.05103,0,true,data/matrix_output/16_densa_D0_c_naive.txt
16_densa_D0_c,strassen,16,densa,D0,c,5501,5.5016,0,true,data/matrix_output/16_densa_D0_c_strassen.txt
16_densa_D10_a,naive,16,densa,D10,a,44,0.044864,0,true,data/matrix_output/16_densa_D10_a_naive.txt
16_densa_D10_a,strassen,16,densa,D10,a,5123,5.12319,0,true,data/matrix_output/16_densa_D10_a_strassen.txt
16_densa_D10_b,naive,16,densa,D10,b,44,0.044939,0,true,data/matrix_output/16_densa_D10_b_naive.txt
16_densa_D10_b,strassen,16,densa,D10,b,5282,5.28287,0,true,data/matrix_output/16_densa_D10_b_strassen.txt
16_densa_D10_c,naive,16,densa,D10,c,63,0.063617,0,true,data/matrix_output/16_densa_D10_c_naive.txt
16_densa_D10_c,strassen,16,densa,D10,c,5413,5.41312,0,true,data/matrix_output/16_densa_D10_c_strassen.txt
16_diagonal_D0_a,naive,16,diagonal,D0,a,341,0.341782,0,true,data/matrix_output/16_diagonal_D0_a_naive.txt
16_diagonal_D0_a,strassen,16,diagonal,D0,a,12880,12.8805,0,true,data/matrix_output/16_diagonal_D0_a_strassen.txt
16_diagonal_D0_b,naive,16,diagonal,D0,b,196,0.196494,0,true,data/matrix_output/16_diagonal_D0_b_naive.txt
16_diagonal_D0_b,strassen,16,diagonal,D0,b,5156,5.15659,0,true,data/matrix_output/16_diagonal_D0_b_strassen.txt
16_diagonal_D0_c,naive,16,diagonal,D0,c,335,0.335053,0,true,data/matrix_output/16_diagonal_D0_c_naive.txt
16_diagonal_D0_c,strassen,16,diagonal,D0,c,30009,30.0097,0,true,data/matrix_output/16_diagonal_D0_c_strassen.txt
16_diagonal_D10_a,naive,16,diagonal,D10,a,271,0.271615,0,true,data/matrix_output/16_diagonal_D10_a_naive.txt
16_diagonal_D10_a,strassen,16,diagonal,D10,a,28057,28.0578,0,true,data/matrix_output/16_diagonal_D10_a_strassen.txt
16_diagonal_D10_b,naive,16,diagonal,D10,b,327,0.327278,0,true,data/matrix_output/16_diagonal_D10_b_naive.txt
16_diagonal_D10_b,strassen,16,diagonal,D10,b,26943,26.9435,0,true,data/matrix_output/16_diagonal_D10_b_strassen.txt
16_diagonal_D10_c,naive,16,diagonal,D10,c,241,0.241957,0,true,data/matrix_output/16_diagonal_D10_c_naive.txt
