archivo_entrada,algoritmo,n,tipo,dominio,muestra,tiempo_us,tiempo_ms,memoria_kb,resultado_correcto,archivo_salida
10_aleatorio_D1_a.txt,merge,10,aleatorio,D1,a,4,0.004644,0,true,data/array_output/10_aleatorio_D1_a_merge.txt
10_aleatorio_D1_a.txt,quick,10,aleatorio,D1,a,7,0.007057,0,true,data/array_output/10_aleatorio_D1_a_quick.txt
10_aleatorio_D1_a.txt,patience,10,aleatorio,D1,a,53,0.05318,0,true,data/array_output/10_aleatorio_D1_a_patience.txt
10_aleatorio_D1_a.txt,stdsort,10,aleatorio,D1,a,10,0.01039,0,true,data/array_output/10_aleatorio_D1_a_stdsort.txt
10_aleatorio_D1_b.txt,merge,10,aleatorio,D1,b,19,0.019884,0,true,data/array_output/10_aleatorio_D1_b_merge.txt
10_aleatorio_D1_b.txt,quick,10,aleatorio,D1,b,5,0.00516,0,true,data/array_output/10_aleatorio_D1_b_quick.txt
10_aleatorio_D1_b.txt,patience,10,aleatorio,D1,b,45,0.045802,0,true,data/array_output/10_aleatorio_D1_b_patience.txt
10_aleatorio_D1_b.txt,stdsort,10,aleatorio,D1,b,8,0.008226,0,true,data/array_output/10_aleatorio_D1_b_stdsort.txt
10_aleatorio_D1_c.txt,merge,10,aleatorio,D1,c,18,0.018405,0,true,data/array_output/10_aleatorio_D1_c_merge.txt
10_aleatorio_D1_c.txt,quick,10,aleatorio,D1,c,4,0.004893,0,true,data/array_output/10_aleatorio_D1_c_quick.txt
10_aleatorio_D1_c.txt,patience,10,aleatorio,D1,c,49,0.049039,0,true,data/array_output/10_aleatorio_D1_c_patience.txt
10_aleatorio_D1_c.txt,stdsort,10,aleatorio,D1,c,8,0.008993,0,true,data/array_output/10_aleatorio_D1_c_stdsort.txt
10_aleatorio_D7_a.txt,merge,10,aleatorio,D7,a,18,0.018808,0,true,data/array_output/10_aleatorio_D7_a_merge.txt
10_aleatorio_D7_a.txt,quick,10,aleatorio,D7,a,10,0.01035,0,true,data/array_output/10_aleatorio_D7_a_quick.txt
10_aleatorio_D7_a.txt,patience,10,aleatorio,D7,a,46,0.046366,0,true,data/array_output/10_aleatorio_D7_a_patience.txt
